Model,Dataset,MSE,RMSE,MAE,R2
LSTM,Test,0.922299175658771,0.9603640849483964,0.6224032997703911,0.9913249738916718
LSTM,Train,0.6778459384668968,0.8233139974923885,0.5295229746944786,0.9928045497417812
Random Forest,Test,1.38243260170293,1.1757689406099014,0.5316341650253852,0.987232058312378
Random Forest,Train,0.0082895767012608,0.09104711253664664,0.0486953240132112,0.9999138151433542
Ridge,Test,0.7747235645385893,0.8801838242881934,0.5584391474138783,0.9928447685016466
Ridge,Train,0.6354267089492128,0.7971365685685313,0.5617949932946713,0.9933936120270972
XGBoost,Test,0.8666989856459956,0.9309666941657986,0.4654352878015099,0.9919952972059414
XGBoost,Train,0.0259766683135974,0.1611727902395358,0.1054821548812652,0.9997299264467387
