feature,importance_rf,importance_xgb,importance_mean
cumulative_penicillin,4.941176474656333,6.855685,5.898430854363079
viscosity,2.1228729751136197,1.0099204,1.5663966668857283
RQ,1.1509317785828057,0.32525545,0.738093616084692
substrate,0.9334309425068459,0.48416755,0.7087992442703526
DO,0.25362688315793047,0.24636118,0.24999403214893823
specific_production_rate,0.21058528499756182,0.16044554,0.18551541307048958
OUR,0.1650085585581169,0.16876623,0.16688739445144463
base_flow,0.060886161098113706,0.10224483,0.0815654963598803
substrate_rate,0.11630348654161254,0.02746059,0.07188203827326675
